"","Occasion","Transect","Quadrat","Width","Depth","Velocity","BR","BO","CO","PE","GV","SD","SL","Time","per_BR","per_BO","per_CO","per_PE","per_GV","per_SD","per_SL","coarseness","Date","Count"
"1",1,1,1,5,3.5,0.2,0,0,0,25,0,0,0,24,0,0,0,1,0,0,0,4,"6/27/2021",6
"2",1,1,2,5,3,0.07,0,0,0,25,0,0,0,24,0,0,0,1,0,0,0,4,"6/27/2021",3
"3",1,1,3,5,2.5,0.02,0,0,0,17,0,0,8,24,0,0,0,0.68,0,0,0.32,3.04,"6/27/2021",11
"4",1,2,1,3.2,5,0.02,0,0,1,0,0,0,24,12.5,0,0,0.04,0,0,0,0.96,1.16,NA,0
"5",1,2,2,3.2,7,0.05,0,0,0,4,0,0,21,12.5,0,0,0,0.16,0,0,0.84,1.48,"6/27/2021",1
"6",1,2,3,3.2,14.5,0.06,0,0,0,0,0,0,25,12.5,0,0,0,0,0,0,1,1,"6/27/2021",3
"7",1,3,1,3.8,7,0.01,0,0,0,21,0,0,4,15,0,0,0,0.84,0,0,0.16,3.52,"6/27/2021",1
"8",1,3,2,3.8,14,0.11,0,0,0,18,0,7,0,15,0,0,0,0.72,0,0.28,0,3.44,"6/27/2021",4
"9",1,3,3,3.8,21,0.01,0,0,0,0,0,0,25,15,0,0,0,0,0,0,1,1,NA,0
"10",1,4,1,4.2,9,0.02,0,0,0,8,0,1,16,25,0,0,0,0.32,0,0.04,0.64,2,"6/27/2021",4
"11",1,4,2,4.2,12.5,0.06,0,0,10,15,0,0,0,25,0,0,0.4,0.6,0,0,0,4.4,"6/27/2021",6
"12",1,4,3,4.2,5,0,0,0,12,7,0,0,6,25,0,0,0.48,0.28,0,0,0.24,3.76,"6/27/2021",22
"13",1,5,1,3.2,18.5,0.02,2,5,4,6,0,8,0,18,0.08,0.2,0.16,0.24,0,0.32,0,4.16,"6/27/2021",1
"14",1,5,2,3.2,9,0.08,0,6,14,5,0,0,0,18,0,0.24,0.56,0.2,0,0,0,5.04,"6/27/2021",5
"15",1,5,3,3.2,7,0.23,0,0,20,5,0,0,0,18,0,0,0.8,0.2,0,0,0,4.8,"6/27/2021",11
"16",1,6,1,2.4,8.5,0.12,24,0,0,1,0,0,0,9,0.96,0,0,0.04,0,0,0,6.88,"6/27/2021",2
"17",1,6,2,2.4,7.1,0.09,9,0,10,5,0,1,0,9,0.36,0,0.4,0.2,0,0.04,0,5.4,"6/27/2021",1
"18",1,6,3,2.4,10.5,0,4,0,9,5,0,7,0,9,0.16,0,0.36,0.2,0,0.28,0,4.28,NA,0
"19",1,7,1,2.8,10.4,0.1,18,0,4,1,0,2,0,14,0.72,0,0.16,0.04,0,0.08,0,6.16,"6/27/2021",6
"20",1,7,2,2.8,7,0.03,0,0,8,11,0,6,0,14,0,0,0.32,0.44,0,0.24,0,3.84,"6/27/2021",4
"21",1,7,3,2.8,4,0.05,0,0,10,10,0,5,0,14,0,0,0.4,0.4,0,0.2,0,4,NA,0
"22",1,8,1,2.2,6.5,0.23,20,0,2,2,0,1,0,10,0.8,0,0.08,0.08,0,0.04,0,6.4,"6/27/2021",3
"23",1,8,2,2.2,9.7,0.06,0,0,12,12,0,1,0,10,0,0,0.48,0.48,0,0.04,0,4.4,"6/27/2021",3
"24",1,8,3,2.2,7.8,0.09,0,0,16,3,0,0,6,10,0,0,0.64,0.12,0,0,0.24,3.92,"6/27/2021",7
"25",1,9,1,2.6,8,0.04,11,0,6,7,1,0,0,14,0.44,0,0.24,0.28,0.04,0,0,5.52,"6/28/2021",6
"26",1,9,2,2.6,9,0.15,0,0,17,6,2,0,0,14,0,0,0.68,0.24,0.08,0,0,4.6,"6/28/2021",3
"27",1,9,3,2.6,4,0.31,0,0,8,6,6,5,0,14,0,0,0.32,0.24,0.24,0.2,0,3.68,"6/28/2021",9
"28",1,10,1,2.3,7,0.04,25,0,0,0,0,0,0,8.3,1,0,0,0,0,0,0,7,"6/28/2021",32
"29",1,10,2,2.3,12.5,0.01,24,0,0,0,0,1,0,8.3,0.96,0,0,0,0,0.04,0,6.8,"6/28/2021",14
"30",1,10,3,2.3,6,0.01,0,0,0,0,0,25,0,8.3,0,0,0,0,0,1,0,2,"6/28/2021",2
"31",1,11,1,2.1,10,0.01,25,0,0,0,0,0,0,12,1,0,0,0,0,0,0,7,"6/28/2021",72
"32",1,11,2,2.1,11,0.04,25,0,0,0,0,0,0,12,1,0,0,0,0,0,0,7,"6/28/2021",19
"33",1,11,3,2.1,10,0.1,0,0,11,0,0,14,0,12,0,0,0.44,0,0,0.56,0,3.32,"6/28/2021",13
"34",1,12,1,2.3,16,0.04,0,1,14,7,0,3,0,7,0,0.04,0.56,0.28,0,0.12,0,4.4,"6/28/2021",4
"35",1,12,2,2.3,15,0.03,0,0,17,4,4,0,0,7,0,0,0.68,0.16,0.16,0,0,4.52,"6/28/2021",2
"36",1,12,3,2.3,14,0.01,0,0,13,8,0,4,0,7,0,0,0.52,0.32,0,0.16,0,4.2,"6/28/2021",3
"37",1,13,1,1.8,6,0.02,0,0,10,0,0,15,0,14.5,0,0,0.4,0,0,0.6,0,3.2,"6/28/2021",10
"38",1,13,2,1.8,16,0.02,0,0,23,0,0,2,0,14.5,0,0,0.92,0,0,0.08,0,4.76,"6/28/2021",9
"39",1,13,3,1.8,5,0.16,4,18,0,3,0,0,0,14.5,0.16,0.72,0,0.12,0,0,0,5.92,"6/28/2021",24
"40",1,14,1,1.9,7,0.01,25,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,"6/28/2021",22
"41",1,14,2,1.9,10,0.12,25,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,"6/28/2021",14
"42",1,14,3,1.9,8,0.09,6,0,6,0,0,13,0,7,0.24,0,0.24,0,0,0.52,0,3.92,"6/28/2021",4
"43",1,15,1,2.5,7,0.02,0,0,0,0,0,25,0,12,0,0,0,0,0,1,0,2,NA,0
"44",1,15,2,2.5,15,0.05,0,0,0,1,0,24,0,12,0,0,0,0.04,0,0.96,0,2.08,"6/28/2021",16
"45",1,15,3,2.5,14,0,0,0,9,6,0,0,10,12,0,0,0.36,0.24,0,0,0.4,3.16,NA,0
"46",1,16,1,2.9,17,0.01,25,0,0,0,0,0,0,11,1,0,0,0,0,0,0,7,"7/1/2021",1
"47",1,16,2,2.9,20,0.01,11,0,0,10,0,0,4,11,0.44,0,0,0.4,0,0,0.16,4.84,"7/1/2021",2
"48",1,16,3,2.9,12,0.02,0,0,0,0,0,2,23,11,0,0,0,0,0,0.08,0.92,1.08,"7/1/2021",4
"49",1,17,1,4.3,27,0.01,0,10,0,0,0,0,15,11,0,0.4,0,0,0,0,0.6,3,NA,0
"50",1,17,2,4.3,9,0.01,16,0,0,0,0,8,1,11,0.64,0,0,0,0,0.32,0.04,5.16,"7/1/2021",14
"51",1,17,3,4.3,25,0.01,0,0,0,22,0,3,0,11,0,0,0,0.88,0,0.12,0,3.76,NA,0
"52",1,18,1,2.3,7,0,0,0,0,1,0,4,20,23,0,0,0,0.04,0,0.16,0.8,1.28,"7/1/2021",8
"53",1,18,2,2.3,10,0.05,2,0,0,4,11,8,0,23,0.08,0,0,0.16,0.44,0.32,0,3.16,"7/1/2021",16
"54",1,18,3,2.3,8,0.03,0,0,1,1,0,1,23,23,0,0,0.04,0.04,0,0.04,0.92,1.36,"7/1/2021",28
"55",1,19,1,1.8,5,0.01,0,0,0,5,0,0,20,16,0,0,0,0.2,0,0,0.8,1.6,"7/1/2021",1
"56",1,19,2,1.8,10,0.08,8,0,0,11,0,1,5,16,0.32,0,0,0.44,0,0.04,0.2,4.28,"7/1/2021",33
"57",1,19,3,1.8,5,0.04,0,0,0,0,0,3,22,16,0,0,0,0,0,0.12,0.88,1.12,"7/1/2021",14
"58",1,20,1,1.9,2,0.06,0,0,0,22,3,0,0,14,0,0,0,0.88,0.12,0,0,3.88,"7/1/2021",18
"59",1,20,2,1.9,5,0.04,4,0,0,10,0,11,0,14,0.16,0,0,0.4,0,0.44,0,3.6,"7/1/2021",13
"60",1,20,3,1.9,8,0.74,25,0,0,0,0,0,0,14,1,0,0,0,0,0,0,7,"7/1/2021",9
"61",2,1,1,4.4,3,0.2,0,0,0,25,0,0,0,10.4,0,0,0,1,0,0,0,4,NA,0
"62",2,1,2,4.4,4,0.19,0,0,0,23,2,0,0,10.4,0,0,0,0.92,0.08,0,0,3.92,"7/25/2021",9
"63",2,1,3,4.4,4.5,0.1,0,0,1,24,0,0,0,10.4,0,0,0.04,0.96,0,0,0,4.04,"7/25/2021",2
"64",2,2,1,3.1,5,0.02,0,0,0,19,6,0,0,10.5,0,0,0,0.76,0.24,0,0,3.76,"7/25/2021",1
"65",2,2,2,3.1,9,0.07,0,0,1,4,11,9,0,10.5,0,0,0.04,0.16,0.44,0.36,0,2.88,NA,0
"66",2,2,3,3.1,14,0.08,0,0,0,0,0,25,0,10.5,0,0,0,0,0,1,0,2,NA,0
"67",2,3,1,3.9,8,0,0,0,4,15,6,0,0,7,0,0,0.16,0.6,0.24,0,0,3.92,NA,0
"68",2,3,2,3.9,15,0.13,0,0,3,10,8,4,0,7,0,0,0.12,0.4,0.32,0.16,0,3.48,NA,0
"69",2,3,3,3.9,20,0,0,0,3,0,0,22,0,7,0,0,0.12,0,0,0.88,0,2.36,NA,0
"70",2,4,1,3.4,14,0.01,0,0,0,0,18,7,0,12,0,0,0,0,0.72,0.28,0,2.72,"7/25/2021",1
"71",2,4,2,3.4,12,0.08,0,0,3,18,4,0,0,12,0,0,0.12,0.72,0.16,0,0,3.96,"7/25/2021",8
"72",2,4,3,3.4,10,0.05,0,0,13,12,0,0,0,12,0,0,0.52,0.48,0,0,0,4.52,"7/25/2021",5
"73",2,5,1,3.1,21,0.07,4,6,10,5,0,0,0,10,0.16,0.24,0.4,0.2,0,0,0,5.36,NA,0
"74",2,5,2,3.1,16,0.19,13,5,7,0,0,0,0,10,0.52,0.2,0.28,0,0,0,0,6.24,"7/25/2021",1
"75",2,5,3,3.1,11,0.08,0,0,13,9,3,0,0,10,0,0,0.52,0.36,0.12,0,0,4.4,"7/25/2021",7
"76",2,6,1,2.2,7,0.25,25,0,0,0,0,0,0,8.3,1,0,0,0,0,0,0,7,"7/25/2021",7
"77",2,6,2,2.2,8.5,0.08,25,0,0,0,0,0,0,8.3,1,0,0,0,0,0,0,7,"7/25/2021",1
"78",2,6,3,2.2,15,0.02,9,0,10,0,3,3,0,8.3,0.36,0,0.4,0,0.12,0.12,0,5.12,NA,0
"79",2,7,1,3,10,0.27,18,0,3,4,0,0,0,11,0.72,0,0.12,0.16,0,0,0,6.28,"7/25/2021",2
"80",2,7,2,3,13,0.06,0,0,6,19,0,0,0,11,0,0,0.24,0.76,0,0,0,4.24,NA,0
"81",2,7,3,3,5,0.11,0,0,16,5,0,4,0,11,0,0,0.64,0.2,0,0.16,0,4.32,"7/25/2021",2
"82",2,8,1,2.2,7,0.29,20,0,5,0,0,0,0,9.3,0.8,0,0.2,0,0,0,0,6.6,"7/25/2021",7
"83",2,8,2,2.2,11,0.12,0,0,7,5,12,1,0,9.3,0,0,0.28,0.2,0.48,0.04,0,3.72,NA,0
"84",2,8,3,2.2,9,0.1,0,5,10,5,1,4,0,9.3,0,0.2,0.4,0.2,0.04,0.16,0,4.44,"7/25/2021",2
"85",2,9,1,2.3,14,0.05,13,2,10,0,0,0,0,14,0.52,0.08,0.4,0,0,0,0,6.12,"7/25/2021",1
"86",2,9,2,2.3,7,0.09,0,0,16,9,0,0,0,14,0,0,0.64,0.36,0,0,0,4.64,"7/25/2021",8
"87",2,9,3,2.3,10,0.19,0,0,16,5,2,2,0,14,0,0,0.64,0.2,0.08,0.08,0,4.4,"7/25/2021",11
"88",2,10,1,2.2,8,0.03,25,0,0,0,0,0,0,5,1,0,0,0,0,0,0,7,"7/25/2021",1
"89",2,10,2,2.2,11,0.56,23,0,2,0,0,0,0,5,0.92,0,0.08,0,0,0,0,6.84,"7/25/2021",7
"90",2,10,3,2.2,13,0,20,0,0,0,3,2,0,5,0.8,0,0,0,0.12,0.08,0,6.12,NA,0
"91",2,11,1,2.6,25,0.09,23,0,2,0,0,0,0,10,0.92,0,0.08,0,0,0,0,6.84,"7/25/2021",20
"92",2,11,2,2.6,12,0.06,25,0,0,0,0,0,0,10,1,0,0,0,0,0,0,7,"7/25/2021",12
"93",2,11,3,2.6,20,0.01,15,0,6,0,2,2,0,10,0.6,0,0.24,0,0.08,0.08,0,5.8,"7/25/2021",5
"94",2,12,1,2.4,19,0.08,0,5,14,6,0,0,0,7.3,0,0.2,0.56,0.24,0,0,0,4.96,"7/25/2021",10
"95",2,12,2,2.4,17,0.03,17,5,0,2,1,0,0,7.3,0.68,0.2,0,0.08,0.04,0,0,6.4,"7/25/2021",2
"96",2,12,3,2.4,19,0,0,7,6,8,0,4,0,7.3,0,0.28,0.24,0.32,0,0.16,0,4.48,NA,0
"97",2,13,1,2.4,6,0,3,0,16,6,0,0,0,10.23,0.12,0,0.64,0.24,0,0,0,5,"7/25/2021",4
"98",2,13,2,2.4,18,0.05,4,16,5,0,0,0,0,10.23,0.16,0.64,0.2,0,0,0,0,5.96,"7/25/2021",5
"99",2,13,3,2.4,9,0.06,17,0,6,2,0,0,0,10.23,0.68,0,0.24,0.08,0,0,0,6.28,"7/25/2021",9
"100",2,14,1,2.7,9,0,25,0,0,0,0,0,0,3.3,1,0,0,0,0,0,0,7,"7/26/2021",5
"101",2,14,2,2.7,11,0.1,25,0,0,0,0,0,0,3.3,1,0,0,0,0,0,0,7,"7/26/2021",4
"102",2,14,3,2.7,13,0.09,14,0,7,0,0,4,0,3.3,0.56,0,0.28,0,0,0.16,0,5.64,NA,0
"103",2,15,1,3,23,0.03,4,6,1,0,0,14,0,7.3,0.16,0.24,0.04,0,0,0.56,0,3.88,NA,0
"104",2,15,2,3,19,0.03,0,0,7,6,0,12,0,7.3,0,0,0.28,0.24,0,0.48,0,3.32,"7/26/2021",1
"105",2,15,3,3,15,0,4,0,4,9,0,4,0,7.3,0.16,0,0.16,0.36,0,0.16,0,3.68,NA,0
"106",2,16,1,3.5,17,0.01,18,0,0,0,0,7,0,15,0.72,0,0,0,0,0.28,0,5.6,NA,0
"107",2,16,2,3.5,19,0.05,1,0,0,0,0,24,0,15,0.04,0,0,0,0,0.96,0,2.2,"7/26/2021",4
"108",2,16,3,3.5,17,0.01,0,0,0,0,0,18,7,15,0,0,0,0,0,0.72,0.28,1.72,"7/26/2021",3
"109",2,17,1,5.2,31,0.01,0,12,4,9,0,0,0,14,0,0.48,0.16,0.36,0,0,0,5.12,NA,0
"110",2,17,2,5.2,20,0,13,0,10,0,0,2,0,14,0.52,0,0.4,0,0,0.08,0,5.8,"7/26/2021",5
"111",2,17,3,5.2,29,0.02,0,0,5,20,0,0,0,14,0,0,0.2,0.8,0,0,0,4.2,"7/26/2021",1
"112",2,18,1,2.4,10,0.04,0,0,0,0,0,25,0,10,0,0,0,0,0,1,0,2,NA,0
"113",2,18,2,2.4,14.5,0.08,6,0,4,14,1,0,0,10,0.24,0,0.16,0.56,0.04,0,0,4.84,"7/26/2021",4
"114",2,18,3,2.4,13,0.02,6,0,4,4,0,11,0,10,0.24,0,0.16,0.16,0,0.44,0,4,"7/26/2021",7
"115",2,19,1,2.7,3.5,0.18,4,0,0,1,0,20,0,10.39,0.16,0,0,0.04,0,0.8,0,2.88,"7/26/2021",7
"116",2,19,2,2.7,12,0.1,14,0,0,0,0,11,0,10.39,0.56,0,0,0,0,0.44,0,4.8,"7/26/2021",4
"117",2,19,3,2.7,6,0.09,4,0,0,0,0,21,0,10.39,0.16,0,0,0,0,0.84,0,2.8,"7/26/2021",17
"118",2,20,1,2.8,5,0.24,0,0,0,16,4,5,0,19.4,0,0,0,0.64,0.16,0.2,0,3.44,"7/26/2021",1
"119",2,20,2,2.8,4,0.18,0,0,0,14,3,8,0,19.4,0,0,0,0.56,0.12,0.32,0,3.24,"7/26/2021",13
"120",2,20,3,2.8,4,0.57,19,0,1,5,0,0,0,19.4,0.76,0,0.04,0.2,0,0,0,6.32,"7/26/2021",19
