Occasion,Date,Transect,Quadrat,Tag_ID,Shell_width,width_unit,Recap ,Comments
1,6/27/2021,1,1,y0001,8,mm,,diameter may be biasased in transects 1-7
1,6/27/2021,1,1,y0002,8,mm,,
1,6/27/2021,1,1,y0003,7,mm,,
1,6/27/2021,1,1,y0004,7,mm,,
1,6/27/2021,1,1,y0005,7,mm,,
1,6/27/2021,1,1,NA,6,mm,,
1,6/27/2021,1,2,y0006,7,mm,,
1,6/27/2021,1,2,y0007,7,mm,,
1,6/27/2021,1,2,y0008,7,mm,,
1,6/27/2021,1,3,y0010,7,mm,,
1,6/27/2021,1,3,y0012,8,mm,,
1,6/27/2021,1,3,y0009,7,mm,,
1,6/27/2021,1,3,y0013,8,mm,,
1,6/27/2021,1,3,y0011,7,mm,,
1,6/27/2021,1,3,y0014,7,mm,,
1,6/27/2021,1,3,y0015,7,mm,,
1,6/27/2021,1,3,y0016,7,mm,,
1,6/27/2021,1,3,y0017,7,mm,,
1,6/27/2021,1,3,NA,5,mm,,
1,6/27/2021,1,3,NA,5,mm,,
1,6/27/2021,2,2,y0018,7,mm,,
1,6/27/2021,2,3,y0019,8,mm,,
1,6/27/2021,2,3,y0020,8,mm,,
1,6/27/2021,2,3,NA,5,mm,,
1,6/27/2021,3,1,y0021,7,mm,,
1,6/27/2021,3,2,y0024,7,mm,,
1,6/27/2021,3,2,y0023,7,mm,,
1,6/27/2021,3,2,y0022,8,mm,,
1,6/27/2021,3,2,NA,5,mm,,
1,6/27/2021,4,1,y0026,7,mm,,
1,6/27/2021,4,1,y0028,10,mm,,
1,6/27/2021,4,1,y0030,8,mm,,
1,6/27/2021,4,1,y0033,9,mm,,
1,6/27/2021,4,2,y0034,6,mm,accidentally tagged,
1,6/27/2021,4,2,y0027,7,mm,,
1,6/27/2021,4,2,y0032,8,mm,,
1,6/27/2021,4,2,y0031,8,mm,,
1,6/27/2021,4,2,y0025,7,mm,,
1,6/27/2021,4,2,y0029,8,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,4,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,4,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,y0039,8,mm,,
1,6/27/2021,4,3,y0037,11,mm,,
1,6/27/2021,4,3,y0035,8,mm,,
1,6/27/2021,4,3,y0036,9,mm,,
1,6/27/2021,4,3,y0038,7,mm,,
1,6/27/2021,5,1,y0040,10,mm,,
1,6/27/2021,5,2,y0046,9,mm,,
1,6/27/2021,5,2,NA,6,mm,,
1,6/27/2021,5,2,y0047,7,mm,,
1,6/27/2021,5,3,y0041,7,mm,,
1,6/27/2021,5,3,y0043,7,mm,,
1,6/27/2021,5,3,y0044,7,mm,,
1,6/27/2021,5,3,y0045,7,mm,,
1,6/27/2021,5,3,NA,6,mm,,
1,6/27/2021,5,3,NA,6,mm,,
1,6/27/2021,5,3,NA,6,mm,,
1,6/27/2021,5,3,NA,5,mm,,
1,6/27/2021,5,3,NA,5,mm,,
1,6/27/2021,5,3,NA,6,mm,,
1,6/27/2021,5,3,NA,5,mm,,
1,6/27/2021,5,2,y0048,9,mm,,
1,6/27/2021,5,2,y0049,8,mm,,
1,6/27/2021,6,1,y0050,7,mm,,
1,6/27/2021,6,1,NA,5,mm,,
1,6/27/2021,6,2,y0051,8,mm,,
1,6/27/2021,7,2,y0052,8,mm,,
1,6/27/2021,7,2,NA,5,mm,,
1,6/27/2021,7,2,NA,6,mm,,
1,6/27/2021,7,2,NA,6,mm,,
1,6/27/2021,7,1,y0057,7,mm,,
1,6/27/2021,7,1,y0055,10,mm,,
1,6/27/2021,7,1,y0054,8,mm,,
1,6/27/2021,7,1,y0056,7,mm,,
1,6/27/2021,7,1,y0053,10,mm,,
1,6/27/2021,7,1,NA,5,mm,,
1,6/27/2021,8,1,y0058,7,mm,,
1,6/27/2021,8,1,y0059,8,mm,,
1,6/27/2021,8,1,NA,6,mm,,
1,6/27/2021,8,3,y0062,7,mm,,
1,6/27/2021,8,3,y0064,8,mm,,
1,6/27/2021,8,3,y0061,8,mm,,
1,6/27/2021,8,3,y0063,8,mm,,
1,6/27/2021,8,3,NA,6,mm,,
1,6/27/2021,8,3,NA,5,mm,,
1,6/27/2021,8,3,NA,5,mm,,
1,6/27/2021,8,2,y0066,8,mm,,
1,6/27/2021,8,2,y0065,7,mm,,
1,6/27/2021,8,2,y0060,8,mm,,
1,6/28/2021,9,1,y0068,7,mm,,
1,6/28/2021,9,1,y0067,8,mm,,
1,6/28/2021,9,1,y0071,7,mm,,
1,6/28/2021,9,1,y0073,8,mm,,
1,6/28/2021,9,1,y0070,8,mm,,
1,6/28/2021,9,1,y0072,7,mm,,
1,6/28/2021,9,2,y0069,7,mm,,
1,6/28/2021,9,2,NA,5,mm,,
1,6/28/2021,9,2,NA,5,mm,,
1,6/28/2021,9,3,y0076,8,mm,,
1,6/28/2021,9,3,y0078,8,mm,,
1,6/28/2021,9,3,y0074,8,mm,,
1,6/28/2021,9,3,y0079,8,mm,,
1,6/28/2021,9,3,y0075,8,mm,,
1,6/28/2021,9,3,y0077,7,mm,,
1,6/28/2021,9,3,NA,6,mm,,
1,6/28/2021,9,3,NA,5,mm,,
1,6/28/2021,9,3,NA,4,mm,,
1,6/28/2021,10,3,y0105,7,mm,,
1,6/28/2021,10,3,y0103,6,mm,,
1,6/28/2021,10,2,y0080,7,mm,,
1,6/28/2021,10,2,y0084,7,mm,,
1,6/28/2021,10,2,y0082,7,mm,,
1,6/28/2021,10,2,y0088,8,mm,,
1,6/28/2021,10,2,y0086,8,mm,,
1,6/28/2021,10,2,y0098,7,mm,,
1,6/28/2021,10,2,y0089,8,mm,,
1,6/28/2021,10,2,y0096,7,mm,,
1,6/28/2021,10,2,y0095,7,mm,,
1,6/28/2021,10,2,y0091,7,mm,,
1,6/28/2021,10,2,y0093,8,mm,,
1,6/28/2021,10,2,y0101,7,mm,,
1,6/28/2021,10,2,y0099,7,mm,,
1,6/28/2021,10,2,NA,6,mm,,
1,6/28/2021,10,1,y0132,7,mm,,
1,6/28/2021,10,1,y0083,7,mm,,
1,6/28/2021,10,1,y0112,8,mm,,
1,6/28/2021,10,1,y0094,8,mm,,
1,6/28/2021,10,1,y0111,7,mm,,
1,6/28/2021,10,1,y0115,8,mm,,
1,6/28/2021,10,1,y0141,7,mm,,
1,6/28/2021,10,1,y0117,7,mm,,
1,6/28/2021,10,1,y0113,7,mm,,
1,6/28/2021,10,1,y0104,7,mm,,
1,6/28/2021,10,1,y0109,8,mm,,
1,6/28/2021,10,1,y0114,7,mm,,
1,6/28/2021,10,1,y0110,8,mm,,
1,6/28/2021,10,1,y0090,7,mm,,
1,6/28/2021,10,1,y0092,8,mm,,
1,6/28/2021,10,1,y0087,8,mm,,
1,6/28/2021,10,1,y0085,8,mm,,
1,6/28/2021,10,1,y0100,7,mm,,
1,6/28/2021,10,1,y0106,8,mm,,
1,6/28/2021,10,1,y0107,8,mm,,
1,6/28/2021,10,1,y0164,7,mm,,
1,6/28/2021,10,1,y0097,7,mm,,
1,6/28/2021,10,1,y0108,7,mm,,
1,6/28/2021,10,1,y0102,8,mm,,
1,6/28/2021,10,1,y0081,7,mm,,
1,6/28/2021,10,1,y0116,8,mm,,
1,6/28/2021,10,1,y0165,7,mm,,
1,6/28/2021,10,1,y0166,7,mm,,
1,6/28/2021,10,1,NA,6,mm,,
1,6/28/2021,10,1,NA,5,mm,,
1,6/28/2021,10,1,NA,5,mm,,
1,6/28/2021,10,1,NA,5,mm,,
1,6/28/2021,11,2,y0236,7,mm,,
1,6/28/2021,11,2,y0238,7,mm,,
1,6/28/2021,11,2,y0240,7,mm,,
1,6/28/2021,11,2,y0172,8,mm,,
1,6/28/2021,11,2,y0168,7,mm,,
1,6/28/2021,11,2,y0170,8,mm,,
1,6/28/2021,11,2,y0241,8,mm,,
1,6/28/2021,11,2,y0176,8,mm,,
1,6/28/2021,11,2,y0174,7,mm,,
1,6/28/2021,11,2,y0182,8,mm,,
1,6/28/2021,11,2,y0167,8,mm,,
1,6/28/2021,11,2,y0234,7,mm,,
1,6/28/2021,11,2,y0237,7,mm,,
1,6/28/2021,11,2,y0232,8,mm,,
1,6/28/2021,11,2,y0181,7,mm,,
1,6/28/2021,11,2,y0179,7,mm,,
1,6/28/2021,11,2,y0239,8,mm,,
1,6/28/2021,11,2,NA,6,mm,,
1,6/28/2021,11,2,y0235,7,mm,,
1,6/28/2021,11,3,y0183,7,mm,,
1,6/28/2021,11,3,y0173,7,mm,,
1,6/28/2021,11,3,y0175,7,mm,,
1,6/28/2021,11,3,y0231,8,mm,,
1,6/28/2021,11,3,y0169,7,mm,,
1,6/28/2021,11,3,y0178,8,mm,,
1,6/28/2021,11,3,y0233,7,mm,,
1,6/28/2021,11,3,y0180,7,mm,,
1,6/28/2021,11,3,y0171,7,mm,,
1,6/28/2021,11,3,y0177,7,mm,,
1,6/28/2021,11,3,NA,5,mm,,
1,6/28/2021,11,3,NA,5,mm,,
1,6/28/2021,11,3,NA,5,mm,,
1,6/28/2021,11,1,y0243,7,mm,,
1,6/28/2021,11,1,y0244,7,mm,,
1,6/28/2021,11,1,y0126,6,mm,,
1,6/28/2021,11,1,y0160,7,mm,,
1,6/28/2021,11,1,y0123,7,mm,,
1,6/28/2021,11,1,y0161,7,mm,,
1,6/28/2021,11,1,y0158,7,mm,,
1,6/28/2021,11,1,y0133,7,mm,,
1,6/28/2021,11,1,y0157,7,mm,,
1,6/28/2021,11,1,y0139,7,mm,,
1,6/28/2021,11,1,y0136,7,mm,,
1,6/28/2021,11,1,y0140,7,mm,,
1,6/28/2021,11,1,y0154,7,mm,,
1,6/28/2021,11,1,y0155,7,mm,,
1,6/28/2021,11,1,y0156,7,mm,,
1,6/28/2021,11,1,y0128,8,mm,,
1,6/28/2021,11,1,y0163,7,mm,,
1,6/28/2021,11,1,y0146,7,mm,,
1,6/28/2021,11,1,y0145,8,mm,,
1,6/28/2021,11,1,y0131,7,mm,,
1,6/28/2021,11,1,y0149,7,mm,,
1,6/28/2021,11,1,y0121,7,mm,,
1,6/28/2021,11,1,y0151,7,mm,,
1,6/28/2021,11,1,y0148,7,mm,,
1,6/28/2021,11,1,y0122,7,mm,,
1,6/28/2021,11,1,y0134,7,mm,,
1,6/28/2021,11,1,y0130,7,mm,,
1,6/28/2021,11,1,y0150,7,mm,,
1,6/28/2021,11,1,y0159,7,mm,,
1,6/28/2021,11,1,y0127,6,mm,,
1,6/28/2021,11,1,y0124,7,mm,,
1,6/28/2021,11,1,y0120,8,mm,,
1,6/28/2021,11,1,y0119,7,mm,,
1,6/28/2021,11,1,y0129,7,mm,,
1,6/28/2021,11,1,y0152,8,mm,,
1,6/28/2021,11,1,y0147,7,mm,,
1,6/28/2021,11,1,y0144,8,mm,,
1,6/28/2021,11,1,y0138,7,mm,,
1,6/28/2021,11,1,y0153,7,mm,,
1,6/28/2021,11,1,y0118,7,mm,,
1,6/28/2021,11,1,y0162,7,mm,,
1,6/28/2021,11,1,y0142,7,mm,,
1,6/28/2021,11,1,y0143,7,mm,,
1,6/28/2021,11,1,y0137,7,mm,,
1,6/28/2021,11,1,y0135,7,mm,,
1,6/28/2021,11,1,y0125,8,mm,,
1,6/28/2021,11,1,y0230,8,mm,,
1,6/28/2021,11,1,y0229,7,mm,,
1,6/28/2021,11,1,y0228,7,mm,,
1,6/28/2021,11,1,y0227,7,mm,,
1,6/28/2021,11,1,y0226,7,mm,,
1,6/28/2021,11,1,y0225,7,mm,,
1,6/28/2021,11,1,y0224,7,mm,,
1,6/28/2021,11,1,y0223,7,mm,,
1,6/28/2021,11,1,y0222,7,mm,,
1,6/28/2021,11,1,y0221,7,mm,,
1,6/28/2021,11,1,y0220,7,mm,,
1,6/28/2021,11,1,y0219,7,mm,,
1,6/28/2021,11,1,y0218,7,mm,,
1,6/28/2021,11,1,y0217,7,mm,,
1,6/28/2021,11,1,y0216,7,mm,,
1,6/28/2021,11,1,y0215,7,mm,,
1,6/28/2021,11,1,y0214,7,mm,,
1,6/28/2021,11,1,y0213,7,mm,,
1,6/28/2021,11,1,y0212,7,mm,,
1,6/28/2021,11,1,y0211,7,mm,,
1,6/28/2021,11,1,y0210,7,mm,,
1,6/28/2021,11,1,y0242,7,mm,,
1,6/28/2021,11,1,NA,6,mm,,
1,6/28/2021,11,1,NA,5,mm,,
1,6/28/2021,11,1,NA,6,mm,,
1,6/28/2021,11,1,NA,6,mm,,
1,6/28/2021,12,1,y0185,7,mm,,
1,6/28/2021,12,1,y0188,7,mm,,
1,6/28/2021,12,1,y0187,7,mm,,
1,6/28/2021,12,1,y0186,6,mm,,
1,6/28/2021,12,2,y0189,7,mm,,
1,6/28/2021,12,2,y0184,7,mm,,
1,6/28/2021,12,3,y0190,8,mm,,
1,6/28/2021,12,3,y0191,7,mm,,
1,6/28/2021,12,3,y0192,7,mm,,
1,6/28/2021,13,1,y0207,7,mm,,
1,6/28/2021,13,1,y0208,8,mm,,
1,6/28/2021,13,1,y0201,7,mm,,
1,6/28/2021,13,2,y0209,9,mm,,
1,6/28/2021,13,1,y0203,7,mm,,
1,6/28/2021,13,2,y0197,7,mm,,
1,6/28/2021,13,1,y0198,7,mm,,
1,6/28/2021,13,2,y0193,7,mm,,
1,6/28/2021,13,1,y0204,7,mm,,
1,6/28/2021,13,3,y0252,7,mm,,
1,6/28/2021,13,2,y0202,8,mm,,
1,6/28/2021,13,1,y0194,7,mm,,
1,6/28/2021,13,1,y0200,8,mm,,
1,6/28/2021,13,1,y0196,8,mm,,
1,6/28/2021,13,2,y0199,8,mm,,
1,6/28/2021,13,3,y0250,7,mm,,
1,6/28/2021,13,1,y0245,7,mm,,
1,6/28/2021,13,2,y0195,7,mm,,
1,6/28/2021,13,3,y0251,7,mm,,
1,6/28/2021,13,2,y0205,8,mm,,
1,6/28/2021,13,2,y0206,7,mm,,
1,6/28/2021,13,3,y0255,7,mm,,
1,6/28/2021,13,2,NA,5,mm,,
1,6/28/2021,13,3,y0254,7,mm,,
1,6/28/2021,13,3,y0257,7,mm,,
1,6/28/2021,13,3,y0248,8,mm,,
1,6/28/2021,13,3,y0260,7,mm,,
1,6/28/2021,13,3,y0247,8,mm,,
1,6/28/2021,13,3,y0263,7,mm,,
1,6/28/2021,13,3,y0246,8,mm,,
1,6/28/2021,13,3,y0256,7,mm,,
1,6/28/2021,13,3,y0264,7,mm,,
1,6/28/2021,13,3,y0253,7,mm,,
1,6/28/2021,13,3,y0256,6,mm,,
1,6/28/2021,13,3,y0249,7,mm,,
1,6/28/2021,13,3,y0262,7,mm,,
1,6/28/2021,13,3,y0261,7,mm,,
1,6/28/2021,13,3,NA,6,mm,,
1,6/28/2021,13,3,NA,5,mm,,
1,6/28/2021,13,3,NA,6,mm,,
1,6/28/2021,13,3,NA,5,mm,,
1,6/28/2021,13,3,NA,5,mm,,
1,6/28/2021,13,3,NA,5,mm,,
1,6/28/2021,14,1,y0273,8,mm,,
1,6/28/2021,14,2,y0290,7,mm,,
1,6/28/2021,14,2,y0294,7,mm,,
1,6/28/2021,14,1,y0279,8,mm,,
1,6/28/2021,14,2,y0293,7,mm,,
1,6/28/2021,14,1,y0274,7,mm,,
1,6/28/2021,14,3,y0295,7,mm,,
1,6/28/2021,14,2,y0291,8,mm,,
1,6/28/2021,14,1,y0270,7,mm,,
1,6/28/2021,14,3,y0296,7,mm,,
1,6/28/2021,14,2,y0292,8,mm,,
1,6/28/2021,14,1,y0281,8,mm,,
1,6/28/2021,14,3,NA,6,mm,,
1,6/28/2021,14,3,NA,4,mm,,
1,6/28/2021,14,2,y0288,7,mm,,
1,6/28/2021,14,1,y0268,7,mm,,
1,6/28/2021,14,2,y0289,8,mm,,
1,6/28/2021,14,1,y0283,6,mm,,
1,6/28/2021,14,2,y0286,7,mm,,
1,6/28/2021,14,1,y0280,8,mm,,
1,6/28/2021,14,2,y0287,8,mm,,
1,6/28/2021,14,1,y0271,7,mm,,
1,6/28/2021,14,2,NA,6,mm,,
1,6/28/2021,14,1,y0277,7,mm,,
1,6/28/2021,14,2,NA,5,mm,,
1,6/28/2021,14,1,y0266,8,mm,,
1,6/28/2021,14,2,NA,5,mm,,
1,6/28/2021,14,1,y0282,7,mm,,
1,6/28/2021,14,2,NA,5,mm,,
1,6/28/2021,14,2,NA,5,mm,,
1,6/28/2021,14,1,y0265,8,mm,,
1,6/28/2021,14,1,y0276,8,mm,,
1,6/28/2021,14,1,y0275,7,mm,,
1,6/28/2021,14,1,NA,5,mm,,
1,6/28/2021,14,1,y0267,8,mm,,
1,6/28/2021,14,1,y0273,8,mm,,
1,6/28/2021,14,1,y0269,7,mm,,
1,6/28/2021,14,1,y0284,7,mm,,
1,6/28/2021,14,1,y0278,8,mm,,
1,6/28/2021,14,1,NA,5,mm,,
1,6/28/2021,15,2,y0304,8,mm,,
1,6/28/2021,15,2,y0300,7,mm,,
1,6/28/2021,15,2,y0297,8,mm,,
1,6/28/2021,15,2,y0305,7,mm,,
1,6/28/2021,15,2,y0303,7,mm,,
1,6/28/2021,15,2,y0308,7,mm,,
1,6/28/2021,15,2,y0306,7,mm,,
1,6/28/2021,15,2,y0307,7,mm,,
1,6/28/2021,15,2,y0301,7,mm,,
1,6/28/2021,15,2,y0299,7,mm,,
1,6/28/2021,15,2,y0298,7,mm,,
1,6/28/2021,15,2,y0309,7,mm,,
1,6/28/2021,15,2,y0302,7,mm,,
1,6/28/2021,15,2,NA,6,mm,,
1,6/28/2021,15,2,NA,5,mm,,
1,6/28/2021,15,2,NA,5,mm,,
1,7/1/2021,16,1,y0311,8,mm,,
1,7/1/2021,16,2,y0312,7,mm,,
1,7/1/2021,16,2,y0314,7,mm,,
1,7/1/2021,16,3,y0313,7,mm,,
1,7/1/2021,16,3,NA,6,mm,,
1,7/1/2021,16,3,NA,6,mm,,
1,7/1/2021,16,3,NA,5,mm,,
1,7/1/2021,17,2,NA,6,mm,,
1,7/1/2021,17,2,y0315,7,mm,,
1,7/1/2021,17,2,y0316,7,mm,,
1,7/1/2021,17,2,y0317,7,mm,,
1,7/1/2021,17,2,y0318,7,mm,,
1,7/1/2021,17,2,y0319,7,mm,,
1,7/1/2021,17,2,y0320,7,mm,,
1,7/1/2021,17,2,y0321,7,mm,,
1,7/1/2021,17,2,y0322,7,mm,,
1,7/1/2021,17,2,y0323,7,mm,,
1,7/1/2021,17,2,y0329,7,mm,,
1,7/1/2021,17,2,y0326,7,mm,,
1,7/1/2021,17,2,y0325,7,mm,,
1,7/1/2021,17,2,NA,5,mm,,
1,7/1/2021,18,1,y0327,7,mm,,
1,7/1/2021,18,1,y0328,8,mm,,
1,7/1/2021,18,1,y0329,7,mm,,
1,7/1/2021,18,1,NA,6,mm,,
1,7/1/2021,18,1,NA,6,mm,,
1,7/1/2021,18,1,NA,5,mm,,
1,7/1/2021,18,1,NA,5,mm,,
1,7/1/2021,18,1,NA,5,mm,,
1,7/1/2021,18,2,y0330,9,mm,,
1,7/1/2021,18,2,y0331,7,mm,,
1,7/1/2021,18,2,y0332,7,mm,,
1,7/1/2021,18,2,NA,6,mm,,
1,7/1/2021,18,2,NA,6,mm,,
1,7/1/2021,18,2,y0333,7,mm,,
1,7/1/2021,18,2,NA,6,mm,,
1,7/1/2021,18,2,NA,5,mm,,
1,7/1/2021,18,2,NA,5,mm,,
1,7/1/2021,18,2,NA,6,mm,,
1,7/1/2021,18,2,NA,5,mm,,
1,7/1/2021,18,2,NA,6,mm,,
1,7/1/2021,18,2,NA,5,mm,,
1,7/1/2021,18,2,NA,5,mm,,
1,7/1/2021,18,2,NA,5,mm,,
1,7/1/2021,18,2,NA,4,mm,,
1,7/1/2021,18,3,y0334,7,mm,,
1,7/1/2021,18,3,y0335,7,mm,,
1,7/1/2021,18,3,y0336,7,mm,,
1,7/1/2021,18,3,y0337,7,mm,,
1,7/1/2021,18,3,y0338,7,mm,,
1,7/1/2021,18,3,y0339,8,mm,,
1,7/1/2021,18,3,y0340,7,mm,,
1,7/1/2021,18,3,y0341,8,mm,,
1,7/1/2021,18,3,y0342,8,mm,,
1,7/1/2021,18,3,y0343,7,mm,,
1,7/1/2021,18,3,y0344,8,mm,,
1,7/1/2021,18,3,y0345,7,mm,,
1,7/1/2021,18,3,y0346,8,mm,,
1,7/1/2021,18,3,y0347,8,mm,,
1,7/1/2021,18,3,y0348,7,mm,,
1,7/1/2021,18,3,y0349,7,mm,,
1,7/1/2021,18,3,y0350,7,mm,,
1,7/1/2021,18,3,y0351,7,mm,,
1,7/1/2021,18,3,NA,6,mm,,
1,7/1/2021,18,3,NA,6,mm,,
1,7/1/2021,18,3,NA,6,mm,,
1,7/1/2021,18,3,NA,5,mm,,
1,7/1/2021,18,3,NA,6,mm,,
1,7/1/2021,18,3,NA,6,mm,,
1,7/1/2021,18,3,NA,5,mm,,
1,7/1/2021,18,3,NA,5,mm,,
1,7/1/2021,18,3,NA,5,mm,,
1,7/1/2021,18,3,y0269,7,mm,yes,
1,7/1/2021,19,1,NA,6,mm,,
1,7/1/2021,19,2,y0352,9,mm,,
1,7/1/2021,19,2,y0353,8,mm,,
1,7/1/2021,19,2,y0354,8,mm,,
1,7/1/2021,19,2,y0355,8,mm,,
1,7/1/2021,19,2,y0356,7,mm,,
1,7/1/2021,19,2,y0357,7,mm,,
1,7/1/2021,19,2,y0358,7,mm,,
1,7/1/2021,19,2,y0359,7,mm,,
1,7/1/2021,19,2,y0360,7,mm,,
1,7/1/2021,19,2,y0361,7,mm,,
1,7/1/2021,19,2,y0362,7,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,y0363,7,mm,,
1,7/1/2021,19,2,y0399,8,mm,,
1,7/1/2021,19,2,y0400,7,mm,,
1,7/1/2021,19,2,y0401,7,mm,,
1,7/1/2021,19,2,y0402,7,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,5,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,6,mm,,
1,7/1/2021,19,2,NA,4,mm,,
1,7/1/2021,20,1,y0403,7,mm,,
1,7/1/2021,20,1,y0404,7,mm,,
1,7/1/2021,20,1,y0405,7,mm,,
1,7/1/2021,20,1,y0406,7,mm,,
1,7/1/2021,20,1,y0407,7,mm,,
1,7/1/2021,20,1,y0408,7,mm,,
1,7/1/2021,20,1,y0409,7,mm,,
1,7/1/2021,20,1,y0410,7,mm,,
1,7/1/2021,20,1,y0411,7,mm,,
1,7/1/2021,20,1,y0412,7,mm,,
1,7/1/2021,20,1,y0413,7,mm,,
1,7/1/2021,20,1,y0414,7,mm,,
1,7/1/2021,20,1,y0415,7,mm,,
1,7/1/2021,20,1,NA,6,mm,,
1,7/1/2021,20,1,y0416,7,mm,,
1,7/1/2021,20,1,NA,6,mm,,
1,7/1/2021,20,1,NA,6,mm,,
1,7/1/2021,20,1,NA,5,mm,,
1,7/1/2021,20,2,y0417,8,mm,,
1,7/1/2021,20,2,y0418,8,mm,,
1,7/1/2021,20,2,y0419,7,mm,,
1,7/1/2021,20,2,y0420,7,mm,,
1,7/1/2021,20,2,y0421,8,mm,,
1,7/1/2021,20,2,y0422,7,mm,,
1,7/1/2021,20,2,y0423,7,mm,,
1,7/1/2021,20,2,y0424,7,mm,,
1,7/1/2021,19,3,y0366,8,mm,,
1,7/1/2021,19,3,y0364,7,mm,,
1,7/1/2021,19,3,y0367,7,mm,,
1,7/1/2021,19,3,y0365,7,mm,,
1,7/1/2021,19,3,y0368,8,mm,,
1,7/1/2021,19,3,y0369,9,mm,,
1,7/1/2021,19,3,y0370,7,mm,,
1,7/1/2021,19,3,y0371,7,mm,,
1,7/1/2021,19,3,y0372,8,mm,,
1,7/1/2021,19,3,y0373,7,mm,,
1,7/1/2021,19,3,y0374,7,mm,,
1,7/1/2021,19,3,y0375,8,mm,,
1,7/1/2021,19,3,y0376,7,mm,,
1,7/1/2021,19,3,NA,6,mm,,
1,7/1/2021,20,3,y0377,7,mm,,
1,7/1/2021,20,3,y0378,7,mm,,
1,7/1/2021,20,3,y0379,7,mm,,
1,7/1/2021,20,3,y0380,7,mm,,
1,7/1/2021,20,3,y0381,7,mm,,
1,7/1/2021,20,3,y0382,8,mm,,
1,7/1/2021,20,3,y0383,7,mm,,
1,7/1/2021,20,3,NA,6,mm,,
1,7/1/2021,20,3,NA,5,mm,,
1,7/1/2021,20,2,y0425,7,mm,,
1,7/1/2021,20,2,y0426,7,mm,,
1,7/1/2021,20,2,NA,6,mm,,
1,7/1/2021,20,2,y0427,7,mm,,
1,7/1/2021,20,2,NA,5,mm,,
